wkt,measure,type,description,easting,northing,gridref,lon,lat
POINT(-0.11689916350687835 51.51272118126343),lon : -0.1169° / lat : 51.5127°,Point,"John Higdon Thornhill, 1866, 22, Newcastle-street, Strand, W.C.",530770,180991,TQ 3076 8099,-0.116899164,51.51272118126343
POINT(-0.12863252768951955 51.51077849045416),lon : -0.1286° / lat : 51.5108°,Point,"William Benbow, 1822-1823, 9, Castle-street, Leicester-square",529961,180754,TQ 2996 8075,-0.128632528,51.51077849045416
POINT(-0.1284384658603068 51.50988348598804),lon : -0.1284° / lat : 51.5099°,Point,"J. Brooks and Co (Frederick Hunt), 1849, 66, Castle-street, Leicester-square",529977,180655,TQ 2997 8065,-0.128438466,51.50988348598804
POINT(-0.12843149897606657 51.51034434251403),lon : -0.1284° / lat : 51.5103°,Point,"James Brewer, 1863-1864, 30 Castle Street, Leicester Square, London, W.C.",529977,180706,TQ 2997 8070,-0.128431499,51.51034434251403
POINT(-0.12842661714172568 51.51034569908987),lon : -0.1284° / lat : 51.5103°,Point,"Cole (James Brewer?), 1867, 30 Castle Street, Leicester Square, London",529977,180707,TQ 2997 8070,-0.128426617,51.51034569908987
POINT(-0.12539557459697914 51.50129260747556),lon : -0.1254° / lat : 51.5013°,Point,"Williams and Co, 1845, 1, Bridge-court, Bridge-street Westminster",530213,179705,TQ 3021 7970,-0.125395575,51.50129260747556
POINT(-0.1144457409840345 51.48267695435064),lon : -0.1144° / lat : 51.4827°,Point,"A. Cooper, 1853-1854, 4, Oval-road, Kennington",531026,177655,TQ 3102 7765,-0.114445741,51.48267695435064
POINT(-0.10973848781603879 51.51458567267292),lon : -0.1097° / lat : 51.5146°,Point,"William Ward, 1869-1870, 36, Fleet-lane, E.C.",531261,181211,TQ 3126 8121,-0.109738488,51.51458567267292
POINT(-0.10973158266048365 51.51462171448259),lon : -0.1097° / lat : 51.5146°,Point,"Thomas Martin, 1856, 14, Fetter-lane, London",531262,181215,TQ 3126 8121,-0.109731583,51.51462171448259
POINT(-0.10715409312779232 51.5126462254855),lon : -0.1072° / lat : 51.5126°,Point,"""Stereo,"" 1857, 7, Tudor-street, Blackfriars, E.C.",531446,181000,TQ 3144 8100,-0.107154093,51.51264623
POINT(-0.09611037427626168 51.522547411417065),lon : -0.0961° / lat : 51.5225°,Point,"William Ward, 1864-1865, 3, Hatfield-street, Goswell-street, London, E.C. (late of Kennington)",532184,182121,TQ 3218 8212,-0.096110374,51.522547411417065
POINT(-0.07468410194039594 51.486837639690094),lon : -0.0747° / lat : 51.4868°,Point,"Harry Jones, 1861, 2B, Nelson Place, Old Kent Road, London, S.E.",533775,178189,TQ 3377 7818,-0.074684102,51.486837639690094
POINT(-0.10447045805774847 51.490119626726454),lon : -0.1045° / lat : 51.4901°,Point,"William Ward, 1859-1860, 19, York-row, Kennington-road, London, S",531697,178500,TQ 3169 7850,-0.104470458,51.490119626726454
POINT(-0.10342026629082515 51.4911927830141),lon : -0.1034° / lat : 51.4912°,Point,"William Ward, 1861 - 1864, 5 Triangle, Kennington Cross, 8",531767,178621,TQ 3176 7862,-0.103420266,51.49119278
POINT(-0.09642450002731925 51.51457170975587),lon : -0.0964° / lat : 51.5146°,Point,"Box U [no name provided], 1864, Box U, Central News Rooms, 151, Cheapside, E.C.",532185,181234,TQ 3218 8123,-0.0964245,51.51457170975587
POINT(-0.14232753180407895 51.51455203463337),lon : -0.1423° / lat : 51.5146°,Point,"Henry Reynolds, 1848, 38, Princes-street, Soho",529000,181150,TQ 2900 8114,-0.142327532,51.51455203463337
POINT(-0.13815185772187155 51.50607640619435),lon : -0.1382° / lat : 51.5061°,Point,"Edward Duncombe, 1847-1849, 25 King-street, Covent Garden",529314,180215,TQ 2931 8021,-0.138151858,51.50607640619435
POINT(-0.1201204464277285 51.51254528572727),lon : -0.1201° / lat : 51.5125°,Point,"William Ward, 1852, 16 Bridges-street, Covent Garden",530547,180966,TQ 3054 8096,-0.120120446,51.51254528572727
POINT(-0.11650069581270438 51.51137529687861),lon : -0.1165° / lat : 51.5114°,Point,"Lowe, 1864, Strand Museum, London",530801,180842,TQ 3080 8084,-0.116500696,51.51137529687861
POINT(-0.1784368156803271 51.70576242240239),lon : -0.1784° / lat : 51.7058°,Point,"Eugene Alfred Judge, 1865-1870, Little Heath, Potter's Bar, London N.",525965,202350,TL 2596 0235,-0.178436816,51.70576242240239
POINT(-0.12959491689802044 51.51873184198368),lon : -0.1296° / lat : 51.5187°,Point,"James [H. James, Esq], 1866, Percy House, Bedford Square, London",529872,181637,TQ 2987 8163,-0.129594917,51.51873184198368
POINT(-0.11842164212422181 51.52853597583507),lon : -0.1184° / lat : 51.5285°,Point,"Anderson, 1864, Acton Cottage, Acton-street, W.C.",530619,182747,TQ 3061 8274,-0.118421642,51.52853597583507
POINT(-0.12472151118415953 51.525654100779576),lon : -0.1247° / lat : 51.5257°,Point,"John Harrison, 1867-1869, 41 Kenton-street, Brunswick-square, W.C.",530190,182415,TQ 3019 8241,-0.124721511,51.525654100779576
POINT(-0.0813553659451818 51.56157071205641),lon : -0.0814° / lat : 51.5616°,Point,"Johnson, 1865-1866, Church-road, Hackney, London",533094,186488,TQ 3309 8648,-0.081355366,51.56157071205641
POINT(-0.0673591039086306 51.46925274397765),lon : -0.0674° / lat : 51.4693°,Point,"William Powell, 1868, 31 Bournemouth road, Peckam, S",534335,176247,TQ 3433 7624,-0.067359104,51.46925274397765
POINT(1.418292085359562 51.334375311844866),lon : 1.4183° / lat : 51.3344°,Point,"Chapman, 1868, Post Office, Ramgate",638205,165024,TR 3820 6502,1.418292085359562,51.334375311844866
POINT(-0.14178079266404986 51.52707958277912),lon : -0.1418° / lat : 51.5271°,Point,"Harry Jones, 1861, 37 William-street, Hampstead-road, London, N.W.",529003,182544,TQ 2900 8254,-0.141780793,51.52707958277912
POINT(-0.1378995139779443 51.51866159471231),lon : -0.1379° / lat : 51.5187°,Point,"Weir, 1864, 10a, Charles-street, Middlesex Hospital, London, W.",529296,181615,TQ 2929 8161,-0.137899514,51.51866159471231
POINT(-0.12838435978346732 51.51302310831824),lon : -0.1284° / lat : 51.513°,Point,"Edward Duncombe, 1866, 9 West-street, Upper S. Martin's-lane",529972,181004,TQ 2997 8100,-0.12838436,51.51302310831824
POINT(-0.12717677411758876 51.51354869572651),lon : -0.1272° / lat : 51.5135°,Point,"Edward Duncombe, 1867, 18, Little St. Andrew's Street, St. Martin's Lane",530055,181065,TQ 3005 8106,-0.127176774,51.51354869572651
POINT(-0.11886681631813285 51.51420407242884),lon : -0.1189° / lat : 51.5142°,Point,"William Sandyfirth Grayson, 1867-1869, 9 Stanhope-street, Strand, W.C.",530629,181153,TQ 3062 8115,-0.118866816,51.51420407242884
POINT(-0.11225516521322992 51.52337561957259),lon : -0.1123° / lat : 51.5234°,Point,"Sidney, 1868, 3, Mount Pleasant, Clerkenwell, W.C.",531062,182184,TQ 3106 8218,-0.112255165,51.52337561957259
POINT(-0.15480941962513337 51.51827581703506),lon : -0.1548° / lat : 51.5183°,Point,"Armstrong, 1868, 11, Samford-street [Blandford Street?], Portman Market, Marylebone, N.W.",528124,181542,TQ 2812 8154,-0.15480942,51.51827581703506
POINT(0.17834542206846055 53.263875463716346),lon : 0.1783° / lat : 53.2639°,Point,"Samuel Wilson, 1863, North Villa, Alford, Lincoln",545388,376311,TF 4538 7631,0.17834542206846055,53.263875463716346
POINT(-1.3956518855632494 53.39250297328965),lon : -1.3957° / lat : 53.3925°,Point,"Cruden, 1865-1866, 1869-1870, Tinsley, Rotherham",440288,388578,SK 4028 8857,-1.395651886,53.39250297328965
POINT(-1.4269961353543617 53.39848511889974),lon : -1.427° / lat : 53.3985°,Point,"William Gilliam, 1870, Attercliffe, Sheffield",438198,389226,SK 3819 8922,-1.426996135,53.39848511889974
POINT(-1.3571212129725754 53.428093592009475),lon : -1.3571° / lat : 53.4281°,Point,"Benjamin Smith, 1870, 6, Oil Mill Folds, Rotherham",442814,392559,SK 4281 9255,-1.357121213,53.428093592009475
POINT(-2.588288432494664 51.45722688106349),lon : -2.5883° / lat : 51.4572°,Point,"Palmer, 1870, 14 Merchant-street, Bristol",359223,173303,ST 5922 7330,-2.588288432,51.45722688106349
POINT(-2.588610358647619 51.45782879794797),lon : -2.5886° / lat : 51.4578°,Point,"Henry Cook, 1870, 9 Rosemary Street, Bristol",359201,173370,ST 5920 7337,-2.588610359,51.45782879794797
POINT(-0.10415973601494723 51.476025441032704),lon : -0.1042° / lat : 51.476°,Point,"Peterson, 1869-1870, 25 James-street, Stockwell, London [specified both N and S in advertisements]",531760,176933,TQ 3175 7693,-0.104159736,51.476025441032704
POINT(-0.10270683170175225 51.49678543348992),lon : -0.1027° / lat : 51.4968°,Point,"G. Ward, 1864-1865, 57 London-road, S.",531801,179245,TQ 3180 7924,-0.102706832,51.49678543348992
POINT(-0.09839855023817963 51.46692350776249),lon : -0.0984° / lat : 51.4669°,Point,"Smith, 1866, 2, Vaughn-road, Cold Harbour-lane, Brixton, London",532186,175932,TQ 3218 7593,-0.09839855,51.46692350776249
POINT(-0.15181745684254364 51.47374585614642),lon : -0.1518° / lat : 51.4737°,Point,"Herbert Constantine Judge, 1870, 1 Lucas-place, Wandsworth-road, S",528457,176595,TQ 2845 7659,-0.151817457,51.47374585614642
POINT(-0.173606359022796 51.694437976755495),lon : -0.1736° / lat : 51.6944°,Point,"Eugene Alfred Judge, 1870, Potter's Bar, London, N.",526330,201099,TL 2633 0109,-0.173606359,51.694437976755495
POINT(-0.10206437208834804 51.516917791901136),lon : -0.1021° / lat : 51.5169°,Point,"Denman, 1869, 5 Union-buildings, near Holborn, London, E.C.",531787,181485,TQ 3178 8148,-0.102064372,51.516917791901136
POINT(-2.6008153256936124 51.45308687902698),lon : -2.6008° / lat : 51.4531°,Point,"Henry Cook, 1866, Bristol",358349,172850,ST 5834 7284,-2.600815326,51.45308687902698
POINT(-0.0986644767203881 51.4675015828918),lon : -0.0987° / lat : 51.4675°,Point,"Smith, 1867, 43 Vaughn-road, Cold Harbour-le., Brixton, S.",532166,175995,TQ 3216 7599,-0.098664477,51.46750158
POINT(-0.11489252302769601 51.51295203471176),lon : -0.1149° / lat : 51.513°,Point,"Lampert [Theophilus Sebastian Judge and Jessie Judge?], 1866-1869, 2 Booksellers' Row, Strand, London",530909,181020,TQ 3090 8102,-0.114892523,51.51295203471176
